title,company,location,salary,job_type,source,link,summary,scraped_at
"AVP, Lowe's Analytics (L10)",Synchrony,"Madurai South, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/avp-lowe-s-analytics-l10-at-synchrony-4373032203?position=1&pageNum=0&refId=ZjPTZHaL0x8V18LB5tfZvQ%3D%3D&trackingId=aqbB12RIKcxiYDsiUrGTFw%3D%3D,AI/ML Role at Synchrony,2026-02-21 17:01:02
Data Integration Engineer (Remote),Uplers,"Madurai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/data-integration-engineer-remote-at-uplers-4367418065?position=2&pageNum=0&refId=ZjPTZHaL0x8V18LB5tfZvQ%3D%3D&trackingId=UvgFKyCmve7FzBDJbAJ3Ow%3D%3D,AI/ML Role at Uplers,2026-02-21 17:01:02
SDE II - Backend Engineer,Uplers,"Madurai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/sde-ii-backend-engineer-at-uplers-4358923965?position=3&pageNum=0&refId=ZjPTZHaL0x8V18LB5tfZvQ%3D%3D&trackingId=ceO14ysJQNZnjMx8%2Be4Gbw%3D%3D,AI/ML Role at Uplers,2026-02-21 17:01:02
SailPoint Developer,Uplers,"Madurai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/sailpoint-developer-at-uplers-4305102974?position=4&pageNum=0&refId=ZjPTZHaL0x8V18LB5tfZvQ%3D%3D&trackingId=26Wox9wqoOCILQdBofNXOQ%3D%3D,AI/ML Role at Uplers,2026-02-21 17:01:02
Software Developer - Backend(Remote),Uplers,"Madurai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/software-developer-backend-remote-at-uplers-4305111650?position=5&pageNum=0&refId=ZjPTZHaL0x8V18LB5tfZvQ%3D%3D&trackingId=MR0xNv7izLAAF5EfToqyGw%3D%3D,AI/ML Role at Uplers,2026-02-21 17:01:02
Senior Quality Assurance Engineer,Uplers,"Madurai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/senior-quality-assurance-engineer-at-uplers-4366858067?position=6&pageNum=0&refId=ZjPTZHaL0x8V18LB5tfZvQ%3D%3D&trackingId=hfbWwQN1FlOVZ4CI%2BAZYCA%3D%3D,AI/ML Role at Uplers,2026-02-21 17:01:02
Senior Unity Developer,Uplers,"Madurai, Tamil Nadu, India",Not disclosed,Full Time,LinkedIn,https://in.linkedin.com/jobs/view/senior-unity-developer-at-uplers-4305123077?position=7&pageNum=0&refId=ZjPTZHaL0x8V18LB5tfZvQ%3D%3D&trackingId=3Jb3hgD74kw%2FeYjY6A%2BsCg%3D%3D,AI/ML Role at Uplers,2026-02-21 17:01:02
